startloc,weight,workload,trace,group
210,0.480997,600.perlbench_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/600.perlbench_s-210B.champsimtrace.xz,speccpu/6xx
1273,0.257321,600.perlbench_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/600.perlbench_s-1273B.champsimtrace.xz,speccpu/6xx
928,0.990287,631.deepsjeng_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/631.deepsjeng_s-928B.champsimtrace.xz,speccpu/6xx
1211,0.199779,459.GemsFDTD,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/459.GemsFDTD-1211B.champsimtrace.xz,speccpu/4xx
765,0.141648,459.GemsFDTD,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/459.GemsFDTD-765B.champsimtrace.xz,speccpu/4xx
1320,0.140912,459.GemsFDTD,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/459.GemsFDTD-1320B.champsimtrace.xz,speccpu/4xx
1418,0.112951,459.GemsFDTD,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/459.GemsFDTD-1418B.champsimtrace.xz,speccpu/4xx
1169,0.100442,459.GemsFDTD,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/459.GemsFDTD-1169B.champsimtrace.xz,speccpu/4xx
1491,0.206034,459.GemsFDTD,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/459.GemsFDTD-1491B.champsimtrace.xz,speccpu/4xx
7928,0.239521,644.nab_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/644.nab_s-7928B.champsimtrace.xz,speccpu/6xx
9322,0.171201,644.nab_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/644.nab_s-9322B.champsimtrace.xz,speccpu/6xx
5853,0.314125,644.nab_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/644.nab_s-5853B.champsimtrace.xz,speccpu/6xx
12459,0.160171,644.nab_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/644.nab_s-12459B.champsimtrace.xz,speccpu/6xx
12521,0.0909152,644.nab_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/644.nab_s-12521B.champsimtrace.xz,speccpu/6xx
17,1.0,628.pop2_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/628.pop2_s-17B.champsimtrace.xz,speccpu/6xx
30,0.451098,464.h264ref,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/464.h264ref-30B.champsimtrace.xz,speccpu/4xx
97,0.125749,464.h264ref,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/464.h264ref-97B.champsimtrace.xz,speccpu/4xx
57,0.107784,464.h264ref,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/464.h264ref-57B.champsimtrace.xz,speccpu/4xx
64,0.161677,464.h264ref,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/464.h264ref-64B.champsimtrace.xz,speccpu/4xx
800,0.152239,453.povray,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/453.povray-800B.champsimtrace.xz,speccpu/4xx
252,0.173134,453.povray,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/453.povray-252B.champsimtrace.xz,speccpu/4xx
887,0.161194,453.povray,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/453.povray-887B.champsimtrace.xz,speccpu/4xx
576,0.333333,453.povray,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/453.povray-576B.champsimtrace.xz,speccpu/4xx
994,0.142785,605.mcf_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/605.mcf_s-994B.champsimtrace.xz,speccpu/6xx
484,0.0349367,605.mcf_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/605.mcf_s-484B.champsimtrace.xz,speccpu/6xx
1644,0.0116456,605.mcf_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/605.mcf_s-1644B.champsimtrace.xz,speccpu/6xx
1554,0.128608,605.mcf_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/605.mcf_s-1554B.champsimtrace.xz,speccpu/6xx
782,0.0688608,605.mcf_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/605.mcf_s-782B.champsimtrace.xz,speccpu/6xx
472,0.0313924,605.mcf_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/605.mcf_s-472B.champsimtrace.xz,speccpu/6xx
665,0.440506,605.mcf_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/605.mcf_s-665B.champsimtrace.xz,speccpu/6xx
1536,0.0141772,605.mcf_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/605.mcf_s-1536B.champsimtrace.xz,speccpu/6xx
1152,0.126582,605.mcf_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/605.mcf_s-1152B.champsimtrace.xz,speccpu/6xx
149,0.100873,641.leela_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/641.leela_s-149B.champsimtrace.xz,speccpu/6xx
1052,0.211354,641.leela_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/641.leela_s-1052B.champsimtrace.xz,speccpu/6xx
334,0.0296943,641.leela_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/641.leela_s-334B.champsimtrace.xz,speccpu/6xx
862,0.124454,641.leela_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/641.leela_s-862B.champsimtrace.xz,speccpu/6xx
602,0.129258,641.leela_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/641.leela_s-602B.champsimtrace.xz,speccpu/6xx
1083,0.139301,641.leela_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/641.leela_s-1083B.champsimtrace.xz,speccpu/6xx
800,0.255459,641.leela_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/641.leela_s-800B.champsimtrace.xz,speccpu/6xx
217,0.158358,429.mcf,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/429.mcf-217B.champsimtrace.xz,speccpu/4xx
192,0.184751,429.mcf,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/429.mcf-192B.champsimtrace.xz,speccpu/4xx
51,0.322581,429.mcf,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/429.mcf-51B.champsimtrace.xz,speccpu/4xx
22,0.11437,429.mcf,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/429.mcf-22B.champsimtrace.xz,speccpu/4xx
184,0.146628,429.mcf,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/429.mcf-184B.champsimtrace.xz,speccpu/4xx
767,0.238528,458.sjeng,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/458.sjeng-767B.champsimtrace.xz,speccpu/4xx
283,0.124242,458.sjeng,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/458.sjeng-283B.champsimtrace.xz,speccpu/4xx
31,0.208225,458.sjeng,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/458.sjeng-31B.champsimtrace.xz,speccpu/4xx
1088,0.271429,458.sjeng,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/458.sjeng-1088B.champsimtrace.xz,speccpu/4xx
10881,0.0887756,649.fotonik3d_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/649.fotonik3d_s-10881B.champsimtrace.xz,speccpu/6xx
1176,0.497231,649.fotonik3d_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/649.fotonik3d_s-1176B.champsimtrace.xz,speccpu/6xx
7084,0.20726,649.fotonik3d_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/649.fotonik3d_s-7084B.champsimtrace.xz,speccpu/6xx
1,0.157247,649.fotonik3d_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/649.fotonik3d_s-1B.champsimtrace.xz,speccpu/6xx
8225,0.0486947,649.fotonik3d_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/649.fotonik3d_s-8225B.champsimtrace.xz,speccpu/6xx
274,0.198312,433.milc,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/433.milc-274B.champsimtrace.xz,speccpu/4xx
127,0.44135,433.milc,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/433.milc-127B.champsimtrace.xz,speccpu/4xx
337,0.255696,433.milc,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/433.milc-337B.champsimtrace.xz,speccpu/4xx
210,0.161847,648.exchange2_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/648.exchange2_s-210B.champsimtrace.xz,speccpu/6xx
387,0.0194217,648.exchange2_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/648.exchange2_s-387B.champsimtrace.xz,speccpu/6xx
584,0.0520069,648.exchange2_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/648.exchange2_s-584B.champsimtrace.xz,speccpu/6xx
1227,0.0429435,648.exchange2_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/648.exchange2_s-1227B.champsimtrace.xz,speccpu/6xx
1511,0.0714286,648.exchange2_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/648.exchange2_s-1511B.champsimtrace.xz,speccpu/6xx
353,0.079413,648.exchange2_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/648.exchange2_s-353B.champsimtrace.xz,speccpu/6xx
1247,0.0807078,648.exchange2_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/648.exchange2_s-1247B.champsimtrace.xz,speccpu/6xx
1699,0.182348,648.exchange2_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/648.exchange2_s-1699B.champsimtrace.xz,speccpu/6xx
1712,0.147389,648.exchange2_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/648.exchange2_s-1712B.champsimtrace.xz,speccpu/6xx
72,0.162495,648.exchange2_s,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/6xx/648.exchange2_s-72B.champsimtrace.xz,speccpu/6xx
1274,0.961187,470.lbm,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/470.lbm-1274B.champsimtrace.xz,speccpu/4xx
111,0.162354,435.gromacs,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/435.gromacs-111B.champsimtrace.xz,speccpu/4xx
228,0.366312,435.gromacs,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/435.gromacs-228B.champsimtrace.xz,speccpu/4xx
226,0.113141,435.gromacs,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/435.gromacs-226B.champsimtrace.xz,speccpu/4xx
134,0.139523,435.gromacs,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/435.gromacs-134B.champsimtrace.xz,speccpu/4xx
153,0.610706,473.astar,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/473.astar-153B.champsimtrace.xz,speccpu/4xx
359,0.209246,473.astar,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/473.astar-359B.champsimtrace.xz,speccpu/4xx
42,0.136253,473.astar,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/473.astar-42B.champsimtrace.xz,speccpu/4xx
48,0.123457,403.gcc,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/403.gcc-48B.champsimtrace.xz,speccpu/4xx
16,0.123457,403.gcc,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/403.gcc-16B.champsimtrace.xz,speccpu/4xx
17,0.395062,403.gcc,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/speccpu/4xx/403.gcc-17B.champsimtrace.xz,speccpu/4xx
504,0.156355,tc.urand,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.urand-504B.champsimtrace.xz,gaps
455,0.0928094,tc.urand,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.urand-455B.champsimtrace.xz,gaps
187,0.255017,tc.urand,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.urand-187B.champsimtrace.xz,gaps
1112,0.396321,tc.urand,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.urand-1112B.champsimtrace.xz,gaps
825,0.0526756,tc.urand,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.urand-825B.champsimtrace.xz,gaps
566,0.444113,xs.XXL64nuclide,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XXL64nuclide-566B.champsimtrace.xz,gaps
531,0.38003,xs.XXL64nuclide,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XXL64nuclide-531B.champsimtrace.xz,gaps
24,0.162444,xs.XXL64nuclide,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XXL64nuclide-24B.champsimtrace.xz,gaps
155,0.15,xs.XXL100unionized,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XXL100unionized-155B.champsimtrace.xz,gaps
188,0.0954545,xs.XXL100unionized,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XXL100unionized-188B.champsimtrace.xz,gaps
24,0.495455,xs.XXL100unionized,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XXL100unionized-24B.champsimtrace.xz,gaps
122,0.213636,xs.XXL100unionized,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XXL100unionized-122B.champsimtrace.xz,gaps
82,0.211055,cc.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.kron-82B.champsimtrace.xz,gaps
17,0.100503,cc.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.kron-17B.champsimtrace.xz,gaps
164,0.211055,cc.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.kron-164B.champsimtrace.xz,gaps
135,0.0603015,cc.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.kron-135B.champsimtrace.xz,gaps
10,0.080402,cc.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.kron-10B.champsimtrace.xz,gaps
78,0.175879,cc.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.kron-78B.champsimtrace.xz,gaps
99,0.115578,cc.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/cc.kron-99B.champsimtrace.xz,gaps
3197,0.0574103,pr.twitter,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/pr.twitter-3197B.champsimtrace.xz,gaps
2161,0.442434,pr.twitter,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/pr.twitter-2161B.champsimtrace.xz,gaps
2741,0.0608424,pr.twitter,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/pr.twitter-2741B.champsimtrace.xz,gaps
168,0.0546022,pr.twitter,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/pr.twitter-168B.champsimtrace.xz,gaps
833,0.329797,pr.twitter,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/pr.twitter-833B.champsimtrace.xz,gaps
1185,0.956684,sssp.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/sssp.web-1185B.champsimtrace.xz,gaps
99,0.289916,bfs.road,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bfs.road-99B.champsimtrace.xz,gaps
128,0.117647,bfs.road,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bfs.road-128B.champsimtrace.xz,gaps
140,0.0504202,bfs.road,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bfs.road-140B.champsimtrace.xz,gaps
210,0.105042,bfs.road,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bfs.road-210B.champsimtrace.xz,gaps
112,0.151261,bfs.road,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bfs.road-112B.champsimtrace.xz,gaps
19,0.214286,bfs.road,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bfs.road-19B.champsimtrace.xz,gaps
168,0.0714286,bfs.road,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bfs.road-168B.champsimtrace.xz,gaps
246,0.852518,sssp.kron,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/sssp.kron-246B.champsimtrace.xz,gaps
3004,0.433558,bc.urand,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/bc.urand-3004B.champsimtrace.xz,gaps
28,0.0983936,xs.XL100hash,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL100hash-28B.champsimtrace.xz,gaps
194,0.889558,xs.XL100hash,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/xs.XL100hash-194B.champsimtrace.xz,gaps
5088,0.764587,tc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.web-5088B.champsimtrace.xz,gaps
3876,0.0728902,tc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.web-3876B.champsimtrace.xz,gaps
2259,0.154067,tc.web,/mnt/research/Gratz_Paul_V/Shared/champsim-traces/gaps/tc.web-2259B.champsimtrace.xz,gaps
